latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,source,bright_ti4,bright_ti5
-36.525999999999996,144.73,325.5,1.3,1.1,2020-04-25,405,A,83,6.0NRT,296.4,28.4,D,MODIS,,
-36.565,144.358,319.0,1.3,1.2,2020-04-25,405,A,78,6.0NRT,294.4,21.5,D,MODIS,,
-36.567,144.343,319.4,1.4,1.2,2020-04-25,405,A,79,6.0NRT,294.6,22.2,D,MODIS,,
-36.518,144.738,317.2,1.3,1.1,2020-04-25,405,A,75,6.0NRT,295.6,16.2,D,MODIS,,
-36.519,144.72299999999998,325.6,1.3,1.1,2020-04-25,405,A,83,6.0NRT,295.6,28.8,D,MODIS,,
-36.561,144.352,326.5,1.3,1.2,2020-04-25,405,A,84,6.0NRT,295.4,32.3,D,MODIS,,
-36.742,141.476,332.5,2.0,1.4,2020-04-25,405,A,67,6.0NRT,272.0,89.9,D,MODIS,,
-36.56,143.4,307.6,1.5,1.2,2020-04-25,405,A,38,6.0NRT,275.2,14.4,D,MODIS,,
-36.56,143.393,313.5,1.5,1.2,2020-04-25,405,A,63,6.0NRT,273.9,24.0,D,MODIS,,
-36.739000000000004,141.49200000000002,311.1,2.0,1.4,2020-04-25,405,A,54,6.0NRT,270.3,27.8,D,MODIS,,
-36.741,141.469,324.2,2.0,1.4,2020-04-25,405,A,0,6.0NRT,271.7,62.0,D,MODIS,,
-36.102,146.58700000000002,315.9,1.1,1.0,2020-04-25,405,A,75,6.0NRT,293.6,13.3,D,MODIS,,
-36.066,145.828,315.2,1.1,1.1,2020-04-25,405,A,73,6.0NRT,293.3,10.6,D,MODIS,,
-36.067,145.815,327.2,1.1,1.1,2020-04-25,405,A,84,6.0NRT,296.1,25.6,D,MODIS,,
-36.125,143.659,311.8,1.5,1.2,2020-04-25,405,A,68,6.0NRT,290.3,14.0,D,MODIS,,
-36.126999999999995,143.642,310.4,1.5,1.2,2020-04-25,405,A,65,6.0NRT,290.4,12.7,D,MODIS,,
-36.054,144.237,315.5,1.3,1.2,2020-04-25,405,A,72,6.0NRT,299.8,13.9,D,MODIS,,
-36.023,143.555,362.7,1.5,1.2,2020-04-25,405,A,100,6.0NRT,278.2,165.7,D,MODIS,,
-36.025,143.53799999999998,345.5,1.5,1.2,2020-04-25,405,A,94,6.0NRT,277.3,94.6,D,MODIS,,
-36.098,142.528,312.2,1.7,1.3,2020-04-25,405,A,68,6.0NRT,293.3,13.4,D,MODIS,,
-36.1,142.54,309.6,1.7,1.3,2020-04-25,405,A,63,6.0NRT,294.2,9.9,D,MODIS,,
-36.121,141.644,308.6,1.9,1.4,2020-04-25,405,A,63,6.0NRT,292.1,11.7,D,MODIS,,
